window,train_years,test_years,train_events,test_events,train_sharpe,test_sharpe,train_win,test_win,train_total,test_total,sharpe_delta
2010-2014 → 2015-2016,2010-2014,2015-2016,47,24,0.7566223167572028,0.6702898715057858,46.808510638297875,40.909090909090914,50.90725106969995,25.007085674661198,-0.08633244525141703
2011-2015 → 2016-2017,2011-2015,2016-2017,59,24,0.8565350063594758,-0.776875554790696,47.45762711864407,27.27272727272727,75.48533649632431,-20.638714051187048,-1.6334105611501717
2012-2016 → 2017-2018,2012-2016,2017-2018,60,24,0.865350995217051,0.6051842915312479,46.55172413793103,54.166666666666664,79.6387421735618,17.411467595136973,-0.2601667036858031
2013-2017 → 2018-2019,2013-2017,2018-2019,60,24,0.33718425256326234,1.2458397216959851,39.6551724137931,62.5,28.34837303586208,42.69537890492886,0.9086554691327228
2014-2018 → 2019-2020,2014-2018,2019-2020,60,24,0.548132445623624,0.06626916263243363,46.55172413793103,29.166666666666668,45.04008322558357,3.246256963459679,-0.4818632829911903
2015-2019 → 2020-2021,2015-2019,2020-2021,60,24,0.5418099633874328,0.3047203068521714,46.55172413793103,37.5,46.63475028036617,14.572464904343171,-0.23708965653526143
2016-2020 → 2021-2022,2016-2020,2021-2022,60,24,0.2139884337593921,1.1736020310734014,39.6551724137931,54.166666666666664,21.086724806633494,42.826626164572204,0.9596135973140093
2017-2021 → 2022-2023,2017-2021,2022-2023,60,24,0.3679539810255087,1.0193371648406566,45.0,45.83333333333333,36.20012951004814,41.12921565387174,0.6513831838151479
2018-2022 → 2023-2024,2018-2022,2023-2024,60,23,0.8036933452256163,1.2674961446982107,50.0,52.17391304347826,84.55206502239272,48.52656490632185,0.4638027994725944
