label,trades,sharpe,avg_ret,win_rate,total_ret,max_dd,avg_mult,avg_winner,avg_loser,stop_pct,stopped_count,stopped_rate,stop_type,atr_mult,initial_stop,trail_distance
No Stop,30,0.9172496678504101,2.8876976775405128,83.33333333333334,86.63093032621535,-10.284275572236197,1.4777777777777776,4.384120910499996,-4.594418487256904,,,,none,,,
ATR Stop 2.0x,30,0.7435831892572435,1.785720806755708,76.66666666666667,53.57162420267123,-16.722093358698846,1.4777777777777776,3.722681357992719,-4.578578147308759,,2.0,6.666666666666667,,2.0,,
Close Stop 3.0%,30,0.41078205385995475,0.9403504858629683,63.33333333333333,28.210514575889064,-16.727608905569525,1.4777777777777776,3.7311898427459775,-3.880190221480411,3.0,6.0,20.0,,,,
OHLC Stop 7.0%,30,0.34457668303039357,1.008069930341141,70.0,30.24209791023422,-24.727608905569525,1.4777777777777776,3.9186122387231146,-5.783195455883465,7.0,4.0,13.333333333333334,,,,
Close Stop 4.0%,30,0.3053046317330746,0.7403504858629685,63.33333333333333,22.210514575889054,-18.72760890556953,1.4777777777777776,3.7311898427459775,-4.425644766934956,4.0,6.0,20.0,,,,
ATR Stop 1.5x,30,0.26398531033716854,0.7286364282338222,63.33333333333333,21.85909284701467,-25.248091246596392,1.4777777777777776,4.055564499139263,-5.017875694239213,,6.0,20.0,,1.5,,
ATR Stop 1.0x,30,0.26336349467051434,0.6070221541009374,56.666666666666664,18.210664623028126,-20.407930466254104,1.4777777777777776,3.87647026338594,-3.668409988810219,,9.0,30.0,,1.0,,
OHLC Stop 5.0%,30,0.11247996205823911,0.295332752350037,60.0,8.8599825705011,-20.72760890556953,1.4777777777777776,3.825485648525127,-4.999896591912598,5.0,7.0,23.333333333333332,,,,
OHLC Stop 4.0%,30,0.019664585526387373,0.048539775840122965,53.333333333333336,1.4561932752036872,-19.05611465325427,1.4777777777777776,3.9390595236346795,-4.397768507353656,4.0,9.0,30.0,,,,
Close Stop 2.0%,30,-0.043718750340199425,-0.07770637670617482,43.333333333333336,-2.3311913011852434,-15.772872573836338,1.4777777777777776,3.10666243752703,-2.5128119405315665,2.0,14.0,46.666666666666664,,,,
OHLC Stop 3.0%,30,-0.3427390625358268,-0.6989374289266674,33.33333333333333,-20.968122867800023,-23.026705088014996,1.4777777777777776,4.261392294170721,-3.1791022904753614,3.0,17.0,56.666666666666664,,,,
Trail 4.0%/3.0%,30,-1.1496944815568244,-1.382483513158594,26.666666666666668,-41.47450539475783,-42.9506173584393,1.4777777777777776,0.8398955516240738,-2.190621354897746,,27.0,90.0,,,4.0,3.0
Trail 5.0%/3.0%,30,-1.1496944815568244,-1.382483513158594,26.666666666666668,-41.47450539475783,-42.9506173584393,1.4777777777777776,0.8398955516240738,-2.190621354897746,,27.0,90.0,,,5.0,3.0
Trail 4.0%/2.0%,30,-1.1581480743676937,-0.9161961030843077,16.666666666666664,-27.48588309252922,-27.48588309252922,1.4777777777777776,0.8964409991989337,-1.278723523540956,,30.0,100.0,,,4.0,2.0
Trail 5.0%/2.0%,30,-1.1581480743676937,-0.9161961030843077,16.666666666666664,-27.48588309252922,-27.48588309252922,1.4777777777777776,0.8964409991989337,-1.278723523540956,,30.0,100.0,,,5.0,2.0
